Service Point,zipCode,rate,buildingType,meterCount,squareFt
-1035,78701,E-SEC1,RESTAURANT,19,61920.62109375
-1034,78701,E-SEC2,OFFICE MED 10-35,49,555123.625
-1033,78701,E-SEC1,OFFICE MED 10-35,22,91300.0078125
-1032,78701,E-SEC2,OFFICE (SMALL),57,280742.6875
-1031,78701,E-SEC1,OFFICE (SMALL),56,92187.0859375
-1030,78701,E-SEC2,OFF/RETAIL (SFR),87,261239.765625
-1029,78701,E-SEC1,OFF/RETAIL (SFR),172,249788.5625
-1028,78701,E-RES,OFF/RETAIL (SFR),26,49021.0
-1027,78701,E-SEC3,OFF HI-RISE >= 6,28,3884078.75
-1026,78701,E-SEC2,OFF HI-RISE >= 6,17,1443024.0
-1025,78701,E-SEC2,NIGHT CLUB/BAR,125,418577.9375
-1024,78701,E-SEC1,NIGHT CLUB/BAR,34,106999.484375
-1023,78701,E-SEC2,MULTIFAMILY,19,910976.3125
-1022,78701,E-SEC1,MULTIFAMILY,22,415532.15625
-1021,78701,E-RES,MULTIFAMILY,2697,4089825.75
-1020,78701,E-RES,CONDO (STACKED),318,281335.625
-1019,78660,E-SEC2,WAREHOUSE <20000,47,299698.0
-1018,78660,E-SEC1,WAREHOUSE <20000,38,150981.0
-1017,78660,E-SEC1,SINGLE FAMILY,22,29681.5
-1016,78660,E-RES,SINGLE FAMILY,3763,5779538.0
-1015,78660,E-RES,MOHO SINGLE REAL,166,130323.6640625
-1014,78660,E-RES,MOHO SINGLE PP,50,4220.0
-1013,78660,E-RES,MOHO DOUBLE REAL,111,136767.5
-1012,78660,E-RES,MOHO DOUBLE PP,112,1116.0
-1011,78660,E-RES,DUPLEX,91,133538.0
-1010,78653,E-RES,SINGLE FAMILY,255,379908.71875
-1009,78652,E-RES,SINGLE FAMILY,458,394036.65625
-1008,78617,E-SEC1,SINGLE FAMILY,12,19497.0
-1007,78617,E-RES,SINGLE FAMILY,2827,4466158.5
-1006,78617,E-RES,MOHO SINGLE REAL,125,84739.5
-1005,78617,E-RES,MOHO SINGLE PP,144,105232.0
-1004,78617,E-RES,MOHO DOUBLE REAL,78,83602.0703125
-1003,78617,E-RES,MOHO DOUBLE PP,33,20086.5
-1002,78617,E-RES,DUPLEX,254,168517.0
-1001,78617,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",21,18743.0
-1000,78610,E-RES,SINGLE FAMILY,32,32317.0
